AngleDeg,AccSingle,AccProbAvg,EntSingle,EntProbAvg
0,1.0,1.0,0.004046049900352955,0.011587800458073616
15,1.0,1.0,0.010247047990560532,0.01680925488471985
30,0.949999988079071,1.0,0.07206971198320389,0.11295910179615021
45,0.699999988079071,0.75,0.45375967025756836,0.45301705598831177
60,0.6000000238418579,0.6000000238418579,0.3660014569759369,0.4420887529850006
75,0.5,0.5,0.6417353749275208,0.7144663333892822
90,0.20000000298023224,0.30000001192092896,0.6420425176620483,0.7959145307540894
105,0.20000000298023224,0.30000001192092896,0.6429060101509094,0.7204477190971375
120,0.30000001192092896,0.30000001192092896,0.46687182784080505,0.5409960746765137
135,0.3499999940395355,0.4000000059604645,0.4543902277946472,0.6060753464698792
150,0.5,0.5,0.4004741311073303,0.4821402430534363
165,0.44999998807907104,0.5,0.22356685996055603,0.35286226868629456
180,0.44999998807907104,0.44999998807907104,0.23606006801128387,0.42150944471359253
